

GENERATION: 122| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 123| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 124| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 125| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 126| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 127| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 128| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 129| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 130| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 131| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 132| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 133| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 134| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 135| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 136| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 137| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 138| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 139| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 140| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 141| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 142| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 143| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 144| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 145| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 146| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 147| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 148| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 149| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 150| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 151| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 152| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 153| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 154| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 155| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 156| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 157| FITNESS: -0.13636363636363635| NR: 7

