

GENERATION: 140| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 141| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 142| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 143| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 144| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 145| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 146| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 147| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 148| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 149| FITNESS: 0.040294526901669826| NR COMUNITATI: 16

GENERATION: 150| FITNESS: 0.040294526901669826| NR COMUNITATI: 16
BEST COMMUNITY 
|NOD - COMUNITATE|
0 - 2
1 - 1
2 - 3
3 - 1
4 - 3
5 - 2
6 - 1
7 - 1
8 - 2
9 - 3
10 - 3
11 - 2
12 - 4
13 - 1
14 - 2
15 - 4
16 - 3
17 - 4
18 - 2
19 - 5
20 - 2
21 - 1
22 - 2
23 - 3
24 - 6
25 - 1
26 - 5
27 - 4
28 - 7
29 - 6
30 - 2
31 - 5
32 - 5
33 - 7
34 - 6
35 - 6
36 - 4
37 - 1
38 - 7
39 - 4
40 - 4
41 - 8
42 - 2
43 - 5
44 - 2
45 - 2
46 - 6
47 - 1
48 - 4
49 - 5
50 - 6
51 - 9
52 - 3
53 - 7
54 - 8
55 - 2
56 - 6
57 - 1
58 - 2
59 - 3
60 - 1
61 - 10
62 - 3
63 - 5
64 - 16
65 - 4
66 - 11
67 - 7
68 - 11
69 - 1
70 - 9
71 - 2
72 - 11
73 - 6
74 - 3
75 - 12
76 - 9
77 - 1
78 - 10
79 - 2
80 - 13
81 - 5
82 - 6
83 - 9
84 - 3
85 - 8
86 - 1
87 - 6
88 - 7
89 - 5
90 - 6
91 - 13
92 - 11
93 - 14
94 - 2
95 - 4
96 - 15
97 - 4
98 - 10
99 - 2
100 - 14
101 - 5
102 - 7
103 - 9
104 - 3
105 - 8
106 - 4
107 - 12
108 - 2
109 - 4
110 - 9
111 - 9
112 - 4
113 - 12
114 - 13
