

GENERATION: 141| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 142| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 143| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 144| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 145| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 146| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 147| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 148| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 149| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 150| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 151| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 152| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 153| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 154| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 155| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 156| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 157| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 158| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 159| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 160| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 161| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 162| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 163| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 164| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 165| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 166| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 167| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 168| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 169| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 170| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 171| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 172| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 173| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 174| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 175| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 176| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 177| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 178| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 179| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 180| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 181| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 182| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 183| FITNESS: 0.070906669546125| NR COMUNITATI: 11

GENERATION: 184| FITNESS: 0.070906669546125| NR COMUNITATI: 11

